Water,Town,Location,Species,Planned #,# Stocked,Age,Length,Date Stocked,County
Lake Champlain,Ferrisburg,Main Lake - Lewis Creek - access area,STT,9000,7103,YR,6.74,3/26/13,Addison
Lake Champlain,Shelburne,Main Lake - LaPlatte River - Bay Rd.,STT,700,,YR,,,Chittenden
Lake Champlain,Colchester,Main Lake - Winooski River - Access Area,LAS,10000,,YR,,,Chittenden
Lake Champlain,Huntington-Richmond,Main Lake-Huntington River,LAS,98000,,FR,,,Chittenden
Lake Champlain,Bolton-Richmond,Main Lake-Winooski River,LAS,30000,,FF,,,Chittenden
Lake Champlain,Shelburne,Main Lake - LaPlatte River - Bay Rd.,STT,700,,YR,,,Chittenden
Lake Dunmore,Leicester/Salisbury,,LAS,900,,2YR,,,Addison
Lake Dunmore,Leicester/Salisbury,,RBT,900,900,YR,10.4,4/18/13,Addison
Lake Dunmore,Leicester/Salisbury,,LAT,800,1010,YR,7.27,4/23/13,Addison
Lake Eden,Eden,,RBT,1200,,YR,,,Lamoille
Lake Elligo,Greensboro,,LAT,700,,YR,,,Orleans
Lake Elligo,Greensboro,,RBT,1000,1000,YR,10.2,4/26/13,Orleans
Lake Fairlee,Fairlee,,RBT,900,900,YR,10.2,4/22/13,Orange
Lake Fairlee,Fairlee,,BNT,1500,1500,YR,8,4/22/13,Orange
Lake Memphremagog,Newport,,LAS,30000,10000,YR,7.1,4/8/13,Orleans
Lake Memphremagog,Newport,,LAS,30000,20000,YR,7.1,4/10/13,Orleans
Lake Paran,Bennington/Shaftsbury,,RBT,500,250,2YR,15.8,4/11/13,Bennington
Lake Paran,Bennington/Shaftsbury,,RBT,1000,500,YR,10.9,4/11/13,Bennington
Lake Paran,Bennington/Shaftsbury,,RBT,500,250,2YR,16,5/30/13,Bennington
Lake Raponda,Wilmington,,RBT,800,600,2YR,15.8,4/16/13,Windsor
Lake Raponda,Wilmington,,RBT,800,100,2YR,15.8,5/1/13,Windsor
Lake Rescue,Ludlow,,BNT,600,600,YR,9,5/1/13,Windsor
Lake Rescue,Ludlow,,RBT,500,500,2YR,15.8,5/1/13,Windsor
Lake Rescue,Ludlow,,RBT,900,900,YR,10,5/1/13,Windsor
Lake Rescue,Ludlow,,LAT,100,100,YR,8,5/9/13,Windsor
Lake Shaftsbury,Shaftsbury,,RBT,300,300,2YR,15.8,4/11/13,Bennington
Lake St Catherine,Poultney,,BNT,5000,5000,YR,9,4/17/13,Rutland
Lake St Catherine,Poultney,,RBT,500,670,YR,10.6,4/17/13,Rutland
Lake Willoughby,Westmore,,LAS,1000,1000,YR,7.1,4/11/13,Orleans
Lake Willoughby,Westmore,,LAT,4000,,YR,,,Orleans
Lamoille River,Hardwick/Wolcott,"Falls in East Hardwick to Pottersville Dam, Wolcott",RBT,900,,YR,,,Lamoille
Lamoille River,Wolcott/Morristown,Pottersville Dam in Wolcott to Morrisville,RBT,2500,,YR,,,Lamoille
Lamoille River,Fairfax,Fairfax Dam to Route 128,BNT,800,400,2YR,14.1,4/17/13,franklin
Lamoille River,Fairfax,Fairfax Dam to Route 128,BNT,800,400,2YR,14.3,5/1/13,franklin
Lamoille River,Morristown/Hyde Park,10 Bends- above bridge,RBT,300,300,YR,10.5,5/23/13,Lamoille
Lamoille River,Morristown/Hyde Park,Cadys Falls Bridge to 10 Bends Line,RBT,500,500,YR,10.5,5/23/13,Lamoille
Lamoille River,Cambridge,Jeffersonville covered bridge to Cambridge Vill.,RBT,500,500,YR,10.5,5/23/13,Lamoille
Lamoille River,Johnson,Railroad St. Johnson Vill to Rt 15 Bridge,RBT,500,500,YR,10.5,5/23/13,Lamoille
Lamoille River,Johnson,RR Trestle to Railroad St. Johnson Vill.,RBT,800,800,YR,10.5,5/23/13,Lamoille
Lamoille River,Johnson,Rt 15 Bridge to Willow Crossing,RBT,1000,1000,YR,10.5,5/23/13,Lamoille
Lamoille River North Branch,Belvidere,Belvidere Jct to Belvidere Ctr (Below Bog Rd),BNT,400,400,YR,8.9,5/7/13,Lamoille
Lamoille River North Branch,Cambridge/Waterville,Mouth to 1st Rt 109 Bridge in Belvidere Jct.,BNT,1400,1400,YR,8.9,5/7/13,Lamoille
Lefferts Pond,Chittenden,,BKT,400,,YR,,,Rutland
Levi Pond,Groton,,BKT,100,100,YR,9.1,5/10/13,Caledonia
Lewis Creek,Starksboro,Above Prison Hollow Falls to Headwaters,BKT,700,700,YR,9.1,5/22/13,Addison
Lewis Creek,Ferrisburgh to Starksboro,Below Prison Hollow to Spear St. Ext Covered Bridge,BNT,1000,,YR,,,Addison
Lewis Pond,Lewis,,BKT,2000,,FF,,,Essex
Little Averill Lake,Averill,,BKT,400,,YR,,,Essex
Little Rock Pond,Wallingford,,BKT,2000,,SF,,,Rutland
Long Pond,Westmore,,BKT,500,,YR,,,Orleans
Long Pond,Westmore,,LAT,300,,YR,,,Orleans
Lulls Brook,Hartland,Upper Bridge on Brownsville Rd. down to Rte. 5 Bridge,BKT,200,200,YR,9.1,5/20/13,Windsor
Mackville Pond,Hardwick,,RBT,200,200,YR,10,5/16/13,Caledonia
Mad River,Moretown,Rt 100B bridge below Moretown to Wards Access,RBT,600,,YR,,,Washington
Mad River,"Warren, Waitsfield",Abandoned gas sta blw Warren Vill to Waitsf. covered bridge,BKT,600,600,YR,9.7,4/30/13,Washington
Mad River,"Warren, Waitsfield",Abandoned gas sta blw Warren Vill to Waitsf. covered bridge,RBT,300,,YR,,,Washington
Mad River,"Waitsfield, Moretown",Waitsfield covered bridge to Rt 100B bridge below Moretown,RBT,1600,,YR,,,Washington
Madison Brook,Ferdinand,West MT WMA Core Boundary to Headwater,BKT,300,,YR,,,Essex
Maidstone Lake,Maidstone,,RBT,1500,,YR,,,Essex
Marshfield Reservoir,Marshfield,,RBT,1200,1200,YR,10,4/25/13,Washington
Marshfield Reservoir,Marshfield,,BNT,500,500,YR,8,4/25/13,Washington
Martin's Pond,Peacham,,BKT,800,800,YR,9.1,5/17/13,Caledonia
May Pond,Barton,,BKT,1000,1000,YR,9.6,4/26/13,Orleans
McIntosh Pond,Royalton,,RBT,300,300,2YR,15.8,5/1/13,Windsor
McIntosh Pond,Royalton,,RBT,500,500,YR,10,5/1/13,Windsor
McIntosh Pond,Royalton,,BKT,700,700,YR,9.1,4/18/13,Windsor
Middlebury River Lower,Middlebury,"Below gorge, Rt 125 Bridge down to Otter Creek",BNT,400,,YR,,,Addison
Middlebury River North Branch,Ripton,,BKT,600,,YR,,,Addison
Middlebury River South Branch,Ripton,Upstream of Ripton Village,BKT,300,,YR,,,Addison
Middlebury River Upper,Ripton,Above gorge and Middle Branch,BKT,500,500,YR,9.1,5/8/13,Addison
Mill Brook,West Windsor-Windsor,Best Covered Bridge down to Hewitt Road bridge,BKT,200,200,YR,9.1,5/20/13,Windsor
Mill Pond,Windsor,,RBT,300,300,2YR,16.5,5/2/13,Windsor
Mill Pond,Windsor,,BNT,100,,YR,,,Windsor
Mill River,Shrewsbury/Mt Holly,,BKT,500,505,YR,9,5/9/13,Rutland
Mill River Mid,Shrewsbury,Gorge to East Wallingford,RBT,500,550,YR,12.1,5/8/13,Rutland
Miller Pond,Strafford,,RBT,600,300,2YR,16.5,5/6/13,Orange
Miller Pond,Strafford,,RBT,600,400,2YR,16.5,4/24/13,Orange
Miller Pond,Strafford,,RBT,600,400,2YR,16.5,4/24/13,Orange
Miller Pond,Strafford,,BKT,800,800,YR,9.6,4/24/13,Orange
Miller Pond,Strafford,,RBT,900,,YR,,,Orange
Millers Run,Lyndon/Sheffield,VT-122 bridge upstream of Sheffield Village downstream to Wheelock Village,BKT,100,100,YR,9.6,5/2/13,Caledonia
Millers Run,Lyndon,below Wheelock Village downstream to the mouth,RBT,700,770,YR,10.5,5/20/13,Caledonia
Mirror Lake,Calais,,RBT,700,700,YR,10.2,4/22/13,Washington
Mirror Lake,Calais,,LAT,200,,YR,,,Washington
