Hardwick,5843,MASTER,0,0,0,0,200,0,0,0,0,0,0,0,200
Waitsfield,5673,MASTER,300,0,0,0,0,0,0,0,0,0,0,0,300
Marshfield,5658,MASTER,250,0,0,0,1200,0,0,0,500,0,0,0,1950
Peacham,5862,MASTER,800,0,0,0,0,0,0,0,0,0,0,0,800
Barton,5822,MASTER,1000,0,0,0,900,0,0,0,0,0,1000,0,2900
Royalton,5068,MASTER,700,0,0,0,1900,0,0,0,0,0,0,0,2600
Ripton,5766,MASTER,500,0,0,0,0,0,0,0,0,0,0,0,500
West Windsor,5089,MASTER,100,0,0,0,0,0,0,0,0,0,0,0,100
Windsor,5089,MASTER,100,0,0,0,300,0,0,0,0,0,0,0,400
Mount Holly,5758,MASTER,252,0,0,0,0,0,0,0,0,0,0,0,252
Strafford,5072,MASTER,1200,0,0,0,1100,0,0,0,0,0,0,0,2300
Lyndon,5851,MASTER,150,0,0,0,935,0,0,0,150,0,0,0,1235
Sheffield,5866,MASTER,50,0,0,0,0,0,0,0,0,0,0,0,50
Calais,5648,MASTER,0,0,0,0,1050,0,0,0,150,0,0,0,1200
Enosburg,5450,MASTER,0,0,0,0,1000,0,0,0,0,0,0,0,1000
 Woodbury,5681,MASTER,0,0,0,0,350,0,0,0,150,0,0,0,500
Brandon,5733,MASTER,2002,0,505,0,450,0,0,0,0,0,0,0,2957
New Haven,5472,MASTER,0,0,0,0,750,0,0,0,2000,0,0,0,2750
Bridgewater,5034,MASTER,0,0,0,0,900,0,0,0,0,0,0,0,900
Woodstock,5091,MASTER,0,0,0,0,900,0,0,0,0,0,0,0,900
Wallingford,5773,MASTER,0,0,0,0,750,0,0,0,0,0,0,0,750
Danby,5739,MASTER,0,0,0,0,500,0,0,0,500,0,0,0,1000
Center Rutland,5736,MASTER,0,0,0,0,0,0,0,0,1500,0,0,0,1500
Proctor,5765,MASTER,0,0,0,0,0,0,0,0,1000,0,0,0,1000
Saint Johnsbury,5819,MASTER,0,0,0,0,600,0,0,0,625,0,0,0,1225
Lyndon ,5851,MASTER,0,0,0,0,550,0,0,0,700,0,0,0,1250
 Saint Johnsbury,5819,MASTER,0,0,0,0,550,0,0,0,700,0,0,0,1250
Burke,5871,MASTER,300,0,0,0,1605,0,0,0,150,0,0,0,2055
Dorset,5251,MASTER,500,0,0,0,0,0,0,0,0,0,0,0,500
Williamstown,5679,MASTER,900,0,0,0,0,0,0,0,0,0,0,0,900
Brookfield,5036,MASTER,1700,0,0,0,225,0,0,0,0,0,0,0,1925
Morgan,5853,MASTER,0,0,0,0,0,0,0,0,0,0,2000,0,2000
Glover,5839,MASTER,0,0,600,0,0,0,0,0,0,0,0,0,600
Pittsford,5763,MASTER,658,0,0,0,0,0,0,0,0,0,0,0,658
Marlboro,5344,MASTER,0,0,0,0,1600,0,0,0,100,0,0,0,1700
Stowe,5672,MASTER,300,0,0,0,750,0,0,0,1000,0,0,0,2050
Benson,5731,MASTER,0,0,310,0,1000,0,0,0,0,0,0,0,1310
Vernon,5354,MASTER,700,0,0,0,0,0,0,0,100,0,0,0,800
Canaan,5903,MASTER,0,0,0,0,0,0,0,0,2000,0,0,0,2000
Waterbury,5676,MASTER,1000,0,0,0,1750,0,0,0,1350,0,0,0,4100
Ryegate,5042,MASTER,250,0,0,0,0,0,0,0,0,0,0,0,250
Jamaica,5343,MASTER,0,0,0,0,500,0,0,0,0,0,0,0,500
Stockbridge,5772,MASTER,0,0,0,0,1700,0,0,0,0,0,0,0,1700
Sharon,5065,MASTER,0,0,0,0,3300,0,0,0,0,0,0,0,3300
Hartford,5047,MASTER,0,0,0,0,2200,0,0,0,0,0,0,0,2200
Chelsea,5038,MASTER,350,0,0,0,0,0,0,0,0,0,0,0,350
 Tunbridge,5077,MASTER,350,0,0,0,0,0,0,0,0,0,0,0,350
Roxbury,5669,MASTER,500,0,0,0,0,0,0,0,0,0,0,0,500
Randolph,5060,MASTER,500,0,0,0,0,0,0,0,0,0,0,0,500
Plainfield,5667,MASTER,250,0,0,0,0,0,0,0,0,0,0,0,250
Worcester,5682,MASTER,400,0,0,0,0,0,0,0,0,0,0,0,400
Wolcott,5680,MASTER,150,0,0,0,0,0,0,0,0,0,0,0,150
